file,label,class,generator,model,speaker,reference_file,original_reference_file,reference_text,reference_text_used,target_text,language,clone_mode,seed,seed_strategy,cfg_value,inference_timesteps,normalize,denoise,retry_badcase,sample_rate,channels,duration_s,peak,rms,clipped_fraction,sha256
voxcpm2_001.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_01,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk01_01__vox_ext_01_002.wav,vox_ext_01_002.wav,si lo conseguimos todos los que estamos aquí empezando por todos los convencionados que nos reunimos en esta noche habremos dado un paso de gigante por el que habrá merecido la pena estar en este parlamento.,False,La reunión comenzará a las nueve de la mañana en la sala principal.,Spanish,reference_only_voice_cloning,2026091901,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,2.880000,0.57171631,0.08231022,0.00000000,7fea9bfa6ef546b97b9b95f551f129ad7a64a9d3d0b2f1519565f9d5bca79350
voxcpm2_002.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_01,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk01_02__vox_ext_01_004.wav,vox_ext_01_004.wav,he tratado de trabajar dignamente en nombre de los ciudadanos de mi país y del conjunto de los europeos y ha habido momentos verdaderamente especiales en ese esfuerzo como por ejemplo fue la convención.,False,El tren llegó a la estación unos minutos antes de lo previsto.,Spanish,reference_only_voice_cloning,2026091902,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,3.360000,0.55886841,0.07165004,0.00000000,614a7c4448a1b6595adc5ca3787e255f68bebfd6ee0d66292df7de8f2bbdc297
voxcpm2_003.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_02,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk02_01__vox_ext_02_005.wav,vox_ext_02_005.wav,las negociaciones deben producir un cambio real;,False,Durante la tarde esperamos cielos despejados y temperaturas suaves.,Spanish,reference_only_voice_cloning,2026091903,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,4.320000,0.38827515,0.05066047,0.00000000,8298e0fb661552dedf0516084bf667845f73a669bb55d048a8c102a9f57d1b7b
voxcpm2_004.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_02,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk02_02__vox_ext_02_006.wav,vox_ext_02_006.wav,el gobierno de ortega nos ha demostrado una y otra vez su verdadera cara e intenciones.,False,La biblioteca permanecerá abierta hasta las ocho de la noche.,Spanish,reference_only_voice_cloning,2026091904,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,3.680000,0.68920898,0.09733705,0.00000000,20e452824385be955ebf274ff068488ceab8f648131aafc68172e0df0b825179
voxcpm2_005.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_03,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk03_01__vox_ext_03_006.wav,vox_ext_03_006.wav,dicho acuerdo recoge en su protocolo diecinueve la fórmula jurídica inequívoca que deberán utilizar aquellos estados que deseen participar en las disposiciones del mismo.,False,Mañana revisaremos los resultados obtenidos durante la última prueba.,Spanish,reference_only_voice_cloning,2026091905,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,3.520000,0.97720337,0.15644844,0.00000000,942bf8207bd41d64a80bbe42af0a8e6cd544b04d946a5ae260447fec2dc02a18
voxcpm2_006.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_03,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk03_02__vox_ext_03_007.wav,vox_ext_03_007.wav,este procedimiento aquí no se ha respetado algo obligatorio al ser eurosur un desarrollo del acervo de schengen.,False,El sistema procesa cada archivo de manera independiente y ordenada.,Spanish,reference_only_voice_cloning,2026091906,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,3.840000,0.91873169,0.12752543,0.00000000,d132e3c07ea4c93788bb21be6cc7cd86a7b996d72bab7f621881ce1e46595323
voxcpm2_007.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_04,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk04_01__vox_ext_04_003.wav,vox_ext_04_003.wav,por eso hay que dar la bienvenida a que la presidencia estonia haya hecho bandera de los asuntos digitales en este período.,False,La carretera atraviesa varios pueblos antes de llegar a la ciudad.,Spanish,reference_only_voice_cloning,2026091907,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,3.040000,0.81936646,0.11915964,0.00000000,ab89cfc36e3e988fa9d9fc9da7fdae10fb4176e0f26bb0559c8cd2c89ad5aacd
voxcpm2_008.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_04,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk04_02__vox_ext_04_004.wav,vox_ext_04_004.wav,la lista de objetivos políticos que habría que calificar de falta de evidencia científica según parece entenderse en este caso sería inmensa.,False,Necesitamos comprobar que todos los datos se hayan guardado correctamente.,Spanish,reference_only_voice_cloning,2026091908,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,3.680000,0.70822144,0.10914779,0.00000000,760150c5063c1334dcbe5d42c843bfb307b79c95da312b67df3b01608a6dd4bb
voxcpm2_009.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_05,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk05_01__vox_ext_05_003.wav,vox_ext_05_003.wav,aquí se trata del modelo de sociedad que queremos tener y que legaremos a nuestras hijas e hijos;,False,El equipo terminó el proyecto después de varias semanas de trabajo.,Spanish,reference_only_voice_cloning,2026091909,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,3.360000,0.93591309,0.10836291,0.00000000,8289ee9805955072fa869384d79a81f5554b6aa7ad231472b047f90d5ffbe873
voxcpm2_010.wav,1,fake,VoxCPM2,openbmb/VoxCPM2,vox_ext_05,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk05_02__vox_ext_05_002.wav,vox_ext_05_002.wav,tenéis el apoyo y la solidaridad del pueblo vasco y pronto recorreremos el mismo.,False,La aplicación permite consultar la información desde cualquier dispositivo.,Spanish,reference_only_voice_cloning,2026091910,global_python_numpy_torch_rng_before_each_generation,2.0,10,False,False,False,48000,1,3.520000,0.92678833,0.11074112,0.00000000,6d1599abe704de4dd13d5c2b10154d37a6bc27dce1001b9ec0bb402ee549e541
