file,label,class,generator,base_generator,base_language,base_speaker,base_speed,speaker,reference_file,original_reference_file,reference_text,reference_text_used,target_text,language,clone_mode,seed,base_sample_rate,sample_rate,channels,duration_s,peak,rms,clipped_fraction,sha256
openvoice_001.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_01,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk01_01__vox_ext_01_002.wav,vox_ext_01_002.wav,si lo conseguimos todos los que estamos aquí empezando por todos los convencionados que nos reunimos en esta noche habremos dado un paso de gigante por el que habrá merecido la pena estar en este parlamento.,False,La reunión comenzará a las nueve de la mañana en la sala principal.,ES,melo_tts_plus_tone_color_conversion,2026091801,44100,22050,1,4.527891,0.59399414,0.07444094,0.00000000,25bddaecf90e238b90616365d53702074a6ce251391464b228128506860ee017
openvoice_002.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_01,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk01_02__vox_ext_01_004.wav,vox_ext_01_004.wav,he tratado de trabajar dignamente en nombre de los ciudadanos de mi país y del conjunto de los europeos y ha habido momentos verdaderamente especiales en ese esfuerzo como por ejemplo fue la convención.,False,El tren llegó a la estación unos minutos antes de lo previsto.,ES,melo_tts_plus_tone_color_conversion,2026091802,44100,22050,1,4.237642,0.67547607,0.08176749,0.00000000,1451887f5e423de51ce2fb48c6828d60e92303cda6046e553a2d27ea4b459783
openvoice_003.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_02,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk02_01__vox_ext_02_005.wav,vox_ext_02_005.wav,las negociaciones deben producir un cambio real;,False,Durante la tarde esperamos cielos despejados y temperaturas suaves.,ES,melo_tts_plus_tone_color_conversion,2026091803,44100,22050,1,4.876190,0.58511353,0.08160898,0.00000000,9c22b3e8fe9cc23cf6fd83cc89530c040f072b8de84b05d944f44eefe99440b7
openvoice_004.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_02,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk02_02__vox_ext_02_006.wav,vox_ext_02_006.wav,el gobierno de ortega nos ha demostrado una y otra vez su verdadera cara e intenciones.,False,La biblioteca permanecerá abierta hasta las ocho de la noche.,ES,melo_tts_plus_tone_color_conversion,2026091804,44100,22050,1,4.249252,0.57373047,0.07097567,0.00000000,60f2681a6fdef8d1580f9bcf220d0829d4abe88eb71921eb0675bdf0166834e5
openvoice_005.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_03,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk03_01__vox_ext_03_006.wav,vox_ext_03_006.wav,dicho acuerdo recoge en su protocolo diecinueve la fórmula jurídica inequívoca que deberán utilizar aquellos estados que deseen participar en las disposiciones del mismo.,False,Mañana revisaremos los resultados obtenidos durante la última prueba.,ES,melo_tts_plus_tone_color_conversion,2026091805,44100,22050,1,5.085170,0.66943359,0.07455490,0.00000000,ea7fa4cbda22087b9347f1b250c343b85d413a9abeaeb1a2c4c3bc5f5a8bc9eb
openvoice_006.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_03,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk03_02__vox_ext_03_007.wav,vox_ext_03_007.wav,este procedimiento aquí no se ha respetado algo obligatorio al ser eurosur un desarrollo del acervo de schengen.,False,El sistema procesa cada archivo de manera independiente y ordenada.,ES,melo_tts_plus_tone_color_conversion,2026091806,44100,22050,1,4.678821,0.61273193,0.07624049,0.00000000,50701d79de020ebbbab367c1d7958f0256a07f5ee9ab73c566e531bdf17ea975
openvoice_007.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_04,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk04_01__vox_ext_04_003.wav,vox_ext_04_003.wav,por eso hay que dar la bienvenida a que la presidencia estonia haya hecho bandera de los asuntos digitales en este período.,False,La carretera atraviesa varios pueblos antes de llegar a la ciudad.,ES,melo_tts_plus_tone_color_conversion,2026091807,44100,22050,1,4.469841,0.63604736,0.08333136,0.00000000,8432cca8b7cfb1cce11989128725cef3f048972904ade5ce0f29031dd90ca53b
openvoice_008.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_04,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk04_02__vox_ext_04_004.wav,vox_ext_04_004.wav,la lista de objetivos políticos que habría que calificar de falta de evidencia científica según parece entenderse en este caso sería inmensa.,False,Necesitamos comprobar que todos los datos se hayan guardado correctamente.,ES,melo_tts_plus_tone_color_conversion,2026091808,44100,22050,1,5.120000,0.58505249,0.07911575,0.00000000,96e69cff26a69bad1b46c00a1112edc177ebda5fbadd04509fa85d7f33ce96e1
openvoice_009.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_05,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk05_01__vox_ext_05_003.wav,vox_ext_05_003.wav,aquí se trata del modelo de sociedad que queremos tener y que legaremos a nuestras hijas e hijos;,False,El equipo terminó el proyecto después de varias semanas de trabajo.,ES,melo_tts_plus_tone_color_conversion,2026091809,44100,22050,1,4.609161,0.71865845,0.07739462,0.00000000,dc646f9105c7c060b5edea0dc4e3c0f72e3b5ca70b9898b8336ac41c9a4a4c58
openvoice_010.wav,1,fake,OpenVoice V2,MeloTTS,ES,ES,1.0,vox_ext_05,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk05_02__vox_ext_05_002.wav,vox_ext_05_002.wav,tenéis el apoyo y la solidaridad del pueblo vasco y pronto recorreremos el mismo.,False,La aplicación permite consultar la información desde cualquier dispositivo.,ES,melo_tts_plus_tone_color_conversion,2026091810,44100,22050,1,5.352200,0.71026611,0.07309776,0.00000000,fadb8096924594bda5a304c359b46766d7935b394d87994f800cfa01f9404b4c
