path,label,category,generator,speaker_id,source_speaker_id,target_speaker_id,utterance_id,source_generator,target_model,split
data/real/gonzalo/Gonzalo_ (1).wav,0,real,real,gonzalo,gonzalo,,001,real,,train
data/real/gonzalo/Gonzalo_ (2).wav,0,real,real,gonzalo,gonzalo,,002,real,,train
data/real/gonzalo/Gonzalo_ (3).wav,0,real,real,gonzalo,gonzalo,,003,real,,train
data/real/gonzalo/Gonzalo_ (4).wav,0,real,real,gonzalo,gonzalo,,004,real,,test
data/real/gonzalo/Gonzalo_ (5).wav,0,real,real,gonzalo,gonzalo,,005,real,,test
data/real/gonzalo/Gonzalo_ (6).wav,0,real,real,gonzalo,gonzalo,,006,real,,train
data/real/gonzalo/Gonzalo_ (7).wav,0,real,real,gonzalo,gonzalo,,007,real,,train
data/real/gonzalo/Gonzalo_ (8).wav,0,real,real,gonzalo,gonzalo,,008,real,,train
data/real/gonzalo/Gonzalo_ (9).wav,0,real,real,gonzalo,gonzalo,,009,real,,train
data/real/gonzalo/Gonzalo_ (10).wav,0,real,real,gonzalo,gonzalo,,010,real,,train
data/real/gonzalo/Gonzalo_ (11).wav,0,real,real,gonzalo,gonzalo,,011,real,,train
data/real/gonzalo/Gonzalo_ (12).wav,0,real,real,gonzalo,gonzalo,,012,real,,test
data/real/gonzalo/Gonzalo_ (13).wav,0,real,real,gonzalo,gonzalo,,013,real,,train
data/real/gonzalo/Gonzalo_ (14).wav,0,real,real,gonzalo,gonzalo,,014,real,,test
data/real/gonzalo/Gonzalo_ (15).wav,0,real,real,gonzalo,gonzalo,,015,real,,test
data/real/gonzalo/Gonzalo_ (16).wav,0,real,real,gonzalo,gonzalo,,016,real,,train
data/real/gonzalo/Gonzalo_ (17).wav,0,real,real,gonzalo,gonzalo,,017,real,,train
data/real/gonzalo/Gonzalo_ (18).wav,0,real,real,gonzalo,gonzalo,,018,real,,test
data/real/gonzalo/Gonzalo_ (19).wav,0,real,real,gonzalo,gonzalo,,019,real,,train
data/real/gonzalo/Gonzalo_ (20).wav,0,real,real,gonzalo,gonzalo,,020,real,,train
data/real/gonzalo/Gonzalo_ (21).wav,0,real,real,gonzalo,gonzalo,,021,real,,train
