file,label,class,generator,model,model_snapshot,speaker,reference_file,original_reference_file,reference_text,target_text,language,clone_mode,seed,sample_rate,channels,duration_s,peak,rms,clipped_fraction,sha256
qwen_001.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_01,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk01_01__vox_ext_01_002.wav,vox_ext_01_002.wav,si lo conseguimos todos los que estamos aquí empezando por todos los convencionados que nos reunimos en esta noche habremos dado un paso de gigante por el que habrá merecido la pena estar en este parlamento.,La reunión comenzará a las nueve de la mañana en la sala principal.,Spanish,ICL,2026091501,24000,1,3.520000,0.41601562,0.06263874,0.00000000,7fbe57f2da17d816ef437aff08a30d7035ec190bff24584ccf8e39a9db437392
qwen_002.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_01,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk01_02__vox_ext_01_004.wav,vox_ext_01_004.wav,he tratado de trabajar dignamente en nombre de los ciudadanos de mi país y del conjunto de los europeos y ha habido momentos verdaderamente especiales en ese esfuerzo como por ejemplo fue la convención.,El tren llegó a la estación unos minutos antes de lo previsto.,Spanish,ICL,2026091502,24000,1,3.040000,0.42773438,0.05528511,0.00000000,6616c6ce1ffe9f29d120ed345985d70e159fb9230734cfac9e92aff8b3c8c2c6
qwen_003.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_02,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk02_01__vox_ext_02_005.wav,vox_ext_02_005.wav,las negociaciones deben producir un cambio real;,Durante la tarde esperamos cielos despejados y temperaturas suaves.,Spanish,ICL,2026091503,24000,1,4.880000,0.33789062,0.05012345,0.00000000,7810411ad29bd73d25d5def8cb83d2aa598707060bb44d1b0618492002418389
qwen_004.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_02,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk02_02__vox_ext_02_006.wav,vox_ext_02_006.wav,el gobierno de ortega nos ha demostrado una y otra vez su verdadera cara e intenciones.,La biblioteca permanecerá abierta hasta las ocho de la noche.,Spanish,ICL,2026091504,24000,1,4.480000,0.76562500,0.08596989,0.00000000,5403d739e4ee99c79b72443d066c4903ff6a36e5d5242d8a696214e7327ce63c
qwen_005.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_03,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk03_01__vox_ext_03_006.wav,vox_ext_03_006.wav,dicho acuerdo recoge en su protocolo diecinueve la fórmula jurídica inequívoca que deberán utilizar aquellos estados que deseen participar en las disposiciones del mismo.,Mañana revisaremos los resultados obtenidos durante la última prueba.,Spanish,ICL,2026091505,24000,1,4.720000,0.66796875,0.10392825,0.00000000,c201e51524bf0c3b0041d9a862ef0607e60c949da86741d9b422411e61053330
qwen_006.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_03,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk03_02__vox_ext_03_007.wav,vox_ext_03_007.wav,este procedimiento aquí no se ha respetado algo obligatorio al ser eurosur un desarrollo del acervo de schengen.,El sistema procesa cada archivo de manera independiente y ordenada.,Spanish,ICL,2026091506,24000,1,4.560000,0.66796875,0.09954462,0.00000000,779873c408008a287d0130ff8641d69599353e7a4635909ce7268d158c8899c7
qwen_007.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_04,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk04_01__vox_ext_04_003.wav,vox_ext_04_003.wav,por eso hay que dar la bienvenida a que la presidencia estonia haya hecho bandera de los asuntos digitales en este período.,La carretera atraviesa varios pueblos antes de llegar a la ciudad.,Spanish,ICL,2026091507,24000,1,4.480000,0.63671875,0.07755803,0.00000000,0a943fb2640d29e0f4f5a341376e000ba90667cc4b60ffee34535ebd95aa8094
qwen_008.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_04,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk04_02__vox_ext_04_004.wav,vox_ext_04_004.wav,la lista de objetivos políticos que habría que calificar de falta de evidencia científica según parece entenderse en este caso sería inmensa.,Necesitamos comprobar que todos los datos se hayan guardado correctamente.,Spanish,ICL,2026091508,24000,1,4.000000,0.55468750,0.07990324,0.00000000,39ed68aa192dbe0a71f9b1338932e53110723e36274894cbed420b7ed8ea5990
qwen_009.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_05,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk05_01__vox_ext_05_003.wav,vox_ext_05_003.wav,aquí se trata del modelo de sociedad que queremos tener y que legaremos a nuestras hijas e hijos;,El equipo terminó el proyecto después de varias semanas de trabajo.,Spanish,ICL,2026091509,24000,1,3.760000,0.62109375,0.10138026,0.00000000,494763c13443e6ed04ce55da90ad21ee1a8741b2c8cac1dbdf949f24d16eda5d
qwen_010.wav,1,fake,Qwen3-TTS,Qwen/Qwen3-TTS-12Hz-1.7B-Base,fd4b254389122332181a7c3db7f27e918eec64e3,vox_ext_05,C:\Users\gonza\TFG\Deepfake-Detection\_external_fake_build\rvc_sources\spk05_02__vox_ext_05_002.wav,vox_ext_05_002.wav,tenéis el apoyo y la solidaridad del pueblo vasco y pronto recorreremos el mismo.,La aplicación permite consultar la información desde cualquier dispositivo.,Spanish,ICL,2026091510,24000,1,4.160000,0.74609375,0.09491995,0.00000000,e68f388036afbed7968d07be59a0823da884f76ab3d46dbac1f2dc8046083402
