id,source_path,output_path,category,generator,source_generator,target,status,error
1,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\001_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\001_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
2,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\002_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\002_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
3,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\003_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\003_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
4,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\004_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\004_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
5,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\005_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\005_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
6,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\006_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\006_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
7,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\007_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\007_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
8,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\008_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\008_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
9,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\009_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\009_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
10,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\010_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\010_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
11,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\011_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\011_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
12,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\012_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\012_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
13,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\013_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\013_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
14,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\014_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\014_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
15,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\015_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\015_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
16,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\016_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\016_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
17,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\017_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\017_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
18,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\018_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\018_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
19,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\019_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\019_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
20,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\020_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\020_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
21,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\021_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\021_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
22,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\022_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\022_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
23,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\023_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\023_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
24,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\024_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\024_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
25,C:\Users\gonza\TFG\Deepfake-Detection\data\tts\confucius4\025_ref1.wav,C:\Users\gonza\TFG\Deepfake-Detection\data\sts\knnvc\025_ref1.wav,sts,knnvc,confucius4,C:\Users\gonza\TFG\Deepfake-Detection\referencias_tts\Marta_ref.wav,ok,
